Email_Text,Emotion
Please confirm your availability.,Neutral
I sincerely apologize.,Apology
I feel stressed about my work.,Sad
I am feeling lonely.,Sad
I am very happy with the service.,Happy
Your work is excellent.,Happy
I am feeling lonely.,Sad
Please send the report.,Neutral
Your work is excellent.,Happy
Thank you for your support.,Happy
I am sorry for the inconvenience.,Apology
I am upset with the situation.,Sad
I am frustrated with your response.,Angry
Sorry I missed the meeting.,Apology
Meeting is scheduled tomorrow.,Neutral
This is really disappointing.,Angry
I am frustrated with your response.,Angry
I sincerely apologize.,Apology
Kindly check the attached file.,Neutral
Thanks for your quick response.,Happy
The document has been shared.,Neutral
Please accept my apology.,Apology
I feel stressed about my work.,Sad
I am frustrated with your response.,Angry
Please fix this issue immediately.,Angry
The document has been shared.,Neutral
I am feeling lonely.,Sad
Sorry for the late reply.,Apology
I am sorry for the inconvenience.,Apology
I feel stressed about my work.,Sad
This is really disappointing.,Angry
Please send the report.,Neutral
I appreciate your help.,Happy
I am upset with the situation.,Sad
Please send the report.,Neutral
I am upset with the situation.,Sad
I am upset with the situation.,Sad
I am very angry about the delay.,Angry
Meeting is scheduled tomorrow.,Neutral
I am very happy with the service.,Happy
I am upset with the situation.,Sad
This is really disappointing.,Angry
Meeting is scheduled tomorrow.,Neutral
Today was not a good day.,Sad
Please confirm your availability.,Neutral
Your work is excellent.,Happy
Sorry for the late reply.,Apology
I feel stressed about my work.,Sad
Kindly check the attached file.,Neutral
I appreciate your help.,Happy
Sorry for the late reply.,Apology
I feel stressed about my work.,Sad
I feel very disappointed today.,Sad
Your work is excellent.,Happy
I am upset with the situation.,Sad
Please fix this issue immediately.,Angry
Please send the report.,Neutral
Today was not a good day.,Sad
I appreciate your help.,Happy
Thanks for your quick response.,Happy
Meeting is scheduled tomorrow.,Neutral
Please send the report.,Neutral
Thank you for your support.,Happy
I appreciate your help.,Happy
I am feeling lonely.,Sad
Please fix this issue immediately.,Angry
This is really disappointing.,Angry
Sorry for the late reply.,Apology
I am very angry about the delay.,Angry
The document has been shared.,Neutral
I feel stressed about my work.,Sad
Kindly check the attached file.,Neutral
Kindly check the attached file.,Neutral
I feel stressed about my work.,Sad
I am very angry about the delay.,Angry
Please confirm your availability.,Neutral
Please confirm your availability.,Neutral
Please fix this issue immediately.,Angry
Please send the report.,Neutral
I am frustrated with your response.,Angry
Meeting is scheduled tomorrow.,Neutral
Thank you for your support.,Happy
I am sorry for the inconvenience.,Apology
I am feeling lonely.,Sad
Today was not a good day.,Sad
Thank you for your support.,Happy
I am feeling lonely.,Sad
This service is unacceptable.,Angry
I appreciate your help.,Happy
This service is unacceptable.,Angry
Today was not a good day.,Sad
Please send the report.,Neutral
I am very happy with the service.,Happy
I am very happy with the service.,Happy
The document has been shared.,Neutral
I am frustrated with your response.,Angry
I am very happy with the service.,Happy
Sorry I missed the meeting.,Apology
Thank you for your support.,Happy
Please accept my apology.,Apology
Thank you for your support.,Happy
Please send the report.,Neutral
I am sorry for the inconvenience.,Apology
I am upset with the situation.,Sad
The document has been shared.,Neutral
I am upset with the situation.,Sad
Sorry for the late reply.,Apology
Meeting is scheduled tomorrow.,Neutral
The document has been shared.,Neutral
This service is unacceptable.,Angry
Meeting is scheduled tomorrow.,Neutral
I feel stressed about my work.,Sad
Please send the report.,Neutral
Please confirm your availability.,Neutral
I am frustrated with your response.,Angry
I am feeling lonely.,Sad
I am upset with the situation.,Sad
I sincerely apologize.,Apology
Please accept my apology.,Apology
I sincerely apologize.,Apology
Please send the report.,Neutral
The document has been shared.,Neutral
I feel very disappointed today.,Sad
I appreciate your help.,Happy
I am very happy with the service.,Happy
I am sorry for the inconvenience.,Apology
Thank you for your support.,Happy
This is really disappointing.,Angry
I feel stressed about my work.,Sad
This service is unacceptable.,Angry
I am feeling lonely.,Sad
This service is unacceptable.,Angry
I sincerely apologize.,Apology
I am very angry about the delay.,Angry
I am feeling lonely.,Sad
This is really disappointing.,Angry
Meeting is scheduled tomorrow.,Neutral
Thank you for your support.,Happy
This service is unacceptable.,Angry
Please fix this issue immediately.,Angry
Meeting is scheduled tomorrow.,Neutral
I am frustrated with your response.,Angry
This is really disappointing.,Angry
Today was not a good day.,Sad
Meeting is scheduled tomorrow.,Neutral
I sincerely apologize.,Apology
This service is unacceptable.,Angry
I am feeling lonely.,Sad
This is really disappointing.,Angry
Sorry I missed the meeting.,Apology
I appreciate your help.,Happy
Kindly check the attached file.,Neutral
I appreciate your help.,Happy
I feel very disappointed today.,Sad
Please confirm your availability.,Neutral
The document has been shared.,Neutral
Please fix this issue immediately.,Angry
I am very angry about the delay.,Angry
Please send the report.,Neutral
I am very angry about the delay.,Angry
Please fix this issue immediately.,Angry
This service is unacceptable.,Angry
Please accept my apology.,Apology
I am very happy with the service.,Happy
I am frustrated with your response.,Angry
Sorry I missed the meeting.,Apology
Your work is excellent.,Happy
I feel very disappointed today.,Sad
Thanks for your quick response.,Happy
Sorry I missed the meeting.,Apology
I am frustrated with your response.,Angry
Today was not a good day.,Sad
Please confirm your availability.,Neutral
Please confirm your availability.,Neutral
I feel very disappointed today.,Sad
Thank you for your support.,Happy
I sincerely apologize.,Apology
The document has been shared.,Neutral
Please send the report.,Neutral
Today was not a good day.,Sad
The document has been shared.,Neutral
This service is unacceptable.,Angry
I am feeling lonely.,Sad
Sorry I missed the meeting.,Apology
Today was not a good day.,Sad
Please fix this issue immediately.,Angry
Your work is excellent.,Happy
I am feeling lonely.,Sad
This is really disappointing.,Angry
Please accept my apology.,Apology
Please send the report.,Neutral
I am frustrated with your response.,Angry
Thank you for your support.,Happy
I am upset with the situation.,Sad
Please fix this issue immediately.,Angry
I feel stressed about my work.,Sad
I am frustrated with your response.,Angry
I feel stressed about my work.,Sad
Thanks for your quick response.,Happy
I feel very disappointed today.,Sad
This is really disappointing.,Angry
I sincerely apologize.,Apology
I appreciate your help.,Happy
Today was not a good day.,Sad
I am frustrated with your response.,Angry
Please fix this issue immediately.,Angry
Please confirm your availability.,Neutral
Kindly check the attached file.,Neutral
Your work is excellent.,Happy
Thanks for your quick response.,Happy
Please confirm your availability.,Neutral
Sorry for the late reply.,Apology
I am feeling lonely.,Sad
I sincerely apologize.,Apology
I am feeling lonely.,Sad
Thanks for your quick response.,Happy
Meeting is scheduled tomorrow.,Neutral
I am sorry for the inconvenience.,Apology
Your work is excellent.,Happy
I am very angry about the delay.,Angry
This is really disappointing.,Angry
Today was not a good day.,Sad
Kindly check the attached file.,Neutral
Today was not a good day.,Sad
I am sorry for the inconvenience.,Apology
I sincerely apologize.,Apology
Please fix this issue immediately.,Angry
Your work is excellent.,Happy
I am upset with the situation.,Sad
I am frustrated with your response.,Angry
I am very angry about the delay.,Angry
