News_Text,Label
"According to sources, The city council approved funding for three new public schools.",Real
Update: Local authorities confirmed water supply will resume by evening after the pipeline repair.,Real
"Update: Billionaire secretly funding time travel experiments, leaked email suggests. More details are awaited.",Fake
BREAKING: Local police arrested three suspects in connection with a burglary case. More details are awaited.,Real
Politician caught on secret tape admitting to faking the entire election. Officials have not commented further.,Fake
Reports say Shocking! Scientists secretly confirm the earth will stop spinning next week. Officials have not commented further.,Fake
"In a recent update, Researchers published a peer-reviewed study on renewable energy efficiency. More details are awaited.",Real
"According to sources, Scientists confirm moon landing was staged in a hidden studio decades ago. The story is still developing.",Fake
Scientists at ISRO successfully launched a new communication satellite today. More details are awaited.,Real
"5G towers are secretly causing mass mind control, experts allegedly warn. Officials have not commented further.",Fake
Update: The weather department has forecast moderate rainfall in the region this week.,Real
Update: Viral post claims wearing foil hats blocks government surveillance completely. Readers are advised to verify independently.,Fake
Reports say The weather department has forecast moderate rainfall in the region this week. Officials have not commented further.,Real
Researchers published a peer-reviewed study on renewable energy efficiency. The story is still developing.,Real
Reports say Officials confirmed that the bridge repair project will be completed by next month. The story is still developing.,Real
"Update: New pill promises to make you fluent in any language overnight, ad claims. Readers are advised to verify independently.",Fake
Officials confirmed that the bridge repair project will be completed by next month. The story is still developing.,Real
Update: Rumor spreads that all passports will be cancelled overnight without warning. More details are awaited.,Fake
Update: The government announced a new infrastructure budget for rural roads. The story is still developing.,Real
"Aliens landed in secret facility, government covers up truth from public. The story is still developing.",Fake
BREAKING: Employment data released today shows a modest rise in the unemployment rate. More details are awaited.,Real
"Reports say New pill promises to make you fluent in any language overnight, ad claims. Officials have not commented further.",Fake
"According to sources, Government plans to ban all sunlight to fight climate change, rumor spreads online. More details are awaited.",Fake
"BREAKING: Popular soda brand secretly owned by extraterrestrial corporation, rumor says. The story is still developing.",Fake
BREAKING: The central bank published its monetary policy report for this quarter.,Real
Update: Scientists at ISRO successfully launched a new communication satellite today.,Real
"According to sources, Employment data released today shows a modest rise in the unemployment rate. Readers are advised to verify independently.",Real
"In a recent update, The Reserve Bank of India kept the repo rate unchanged at its latest policy meeting. Readers are advised to verify independently.",Real
"According to sources, The state government announced additional funding for flood relief operations. Officials have not commented further.",Real
BREAKING: The airport authority announced new flight routes starting next quarter. The story is still developing.,Real
Reports say Fake report claims famous scientist admits climate change is a total hoax. Officials have not commented further.,Fake
BREAKING: Officials confirmed that the new water treatment plant is now operational. Officials have not commented further.,Real
"Update: Government plans to ban all sunlight to fight climate change, rumor spreads online. Readers are advised to verify independently.",Fake
Update: A new vaccination drive was launched in rural districts by the health department. More details are awaited.,Real
"According to sources, Hospital secretly performing experiments on patients without consent, rumor claims. More details are awaited.",Fake
Reports say The Ministry of Health released updated guidelines for seasonal flu vaccination. More details are awaited.,Real
"Local water supply secretly laced with mind-altering chemicals, claims viral post.",Fake
Update: Fake report claims famous scientist admits climate change is a total hoax. Officials have not commented further.,Fake
"In a recent update, The transport department introduced new safety rules for commercial vehicles. The story is still developing.",Real
BREAKING: The state government announced additional funding for flood relief operations. The story is still developing.,Real
Reports say Stock markets closed slightly higher after positive quarterly earnings reports. Readers are advised to verify independently.,Real
"Update: New pill promises to make you fluent in any language overnight, ad claims. More details are awaited.",Fake
"According to sources, Local police arrested three suspects in connection with a burglary case.",Real
"Reports say Eating this common vegetable instantly reverses aging, viral post claims.",Fake
"Reports say Miracle fruit melts fat overnight, doctors hate this one simple trick.",Fake
"In a recent update, Celebrity secretly replaced by clone, insider reveals shocking details. The story is still developing.",Fake
The parliament passed a bill on data protection after extensive debate. The story is still developing.,Real
Scientists at ISRO successfully launched a new communication satellite today.,Real
Reports say The court delivered its verdict in the long-pending property dispute case. Officials have not commented further.,Real
"In a recent update, Scientists confirm moon landing was staged in a hidden studio decades ago. The story is still developing.",Fake
Update: Health officials reported a decline in seasonal flu cases this month. More details are awaited.,Real
BREAKING: The Election Commission announced the schedule for the upcoming state elections. More details are awaited.,Real
"New pill promises to make you fluent in any language overnight, ad claims. Readers are advised to verify independently.",Fake
"According to sources, Hospital secretly performing experiments on patients without consent, rumor claims. The story is still developing.",Fake
"In a recent update, Politician caught on secret tape admitting to faking the entire election. The story is still developing.",Fake
"In a recent update, The Ministry of Health released updated guidelines for seasonal flu vaccination.",Real
"According to sources, New study proves the earth is actually flat, mainstream media refuses to report.",Fake
"According to sources, Government hiding cure for all diseases, leaked documents claim. More details are awaited.",Fake
BREAKING: The Reserve Bank of India kept the repo rate unchanged at its latest policy meeting. More details are awaited.,Real
Update: The city council approved funding for three new public schools. More details are awaited.,Real
